亲爱的，晚饭做什么吃？	红烧鲤鱼和鲜蘑油菜。
你理想的工作是什么样的？	我认为应该能发挥我掌握的专业知识，而且能为我提供升职的机会。
你有获得学位吗？	有，1996年我在河北大学获得了理学学士学位，2001年在北京大学获得了工商管理硕士学位。
好了，面试到此结束，非常感谢你来面试这份工作。	不用谢。也非常感谢你在百忙中抽出时间来面试我。
嘿，特德，我看到报纸上的这篇广告，你该看一看。	是什么广告？
你希望的薪酬是多少？	我希望根据我的能力支付薪酬。
说说你自己和你过去的经历吧。	我已经做执行秘书五年了，开始是为一家贸易公司工作，现在是一家信托公司。我和同事、客户、行政管理员以及老板相处得非常好。我能应付挑战，而且在高压力环境中也能工作很出色。
你都做过什么工作？	我做过生产经理。
你觉得你自己的个性如何？	嗯，我觉得自己精力很充沛，做事很有热情。这是我最大的特点了。
你有这个行业的工作经验吗？	有，在我大学毕业后，我就到一家外企代理处做了一名顾客服务协调员，之后我转到一家合资企业做市场发展部经理，所以我对中国市场非常熟悉。
你好，这里是BCD公司，您需要帮助吗？	你好，我可以和史密斯女士通话吗？
你现在的薪水是多少？	每年10万元。
早上好，夫人，需要我帮忙吗？	早上好，我叫孙芳。昨天史密斯先生通知我今天早上来面试，他现在有时间吗？
还有其它的吗？	是的，还有最后一件事。每年你们提供给员工的假期怎样的？
我是孙林，您是史密斯先生吗？	是的，您有什么需要帮助的吗？
早上好，我叫马丁，你申请了实验室助理这个职位，对吧？	是的。当我看到广告时，我想这个职位非常适合我。
早上好，我是为你们登的招聘销售员的广告而来的。	我知道，请这边来。你有工作经验吗？
请进。	下午好，史密斯女士。
说说你自己和你过去的经历。	过去三年我一直在中国东方航空有限公司工作。我待人宽容，别人都说这是我的优点。我想作为团队一员，我能作出很多贡献。
先生，打扰你了，我是来应聘会计师的。	好，请坐吧。你是哪个大学毕业的？
你好，我是孙林。我是为贵公司登的招聘导游的广告而来，还有空缺吗？	有，还需要一名。
有什么我能帮忙的吗？	是的，上个星期末我寄了我的履历表。我申请客户助理的职位。
什么原因使你决定投身这个行业呢？	哦，说真的，我非常喜欢蓝天。小时候我就梦想自己有一天能飞上蓝天，现在我想这一天已经到了，我的梦想要实现了。而且我非常喜欢旅游，喜欢和人打交道。
请讲讲你在保险行业的从业经验。	我大学时主修国际银行业务，所以我学了许多保险课程, 并且我在一家保险公司进行了我的毕业设计。
可以看看你的简历吗？	可以,我需要一份能发挥我一技之长的工作.
你当过导游吗?	我有一点经验。去年我带领一些外国旅客在北京观光，那是份兼职工作。我带领他们去了长城、故宫和颐和园。
你的简历上说你一直在工作吗？	是的，我在一家加拿大公司工作过4年。
你为什么认为你适合这份工作？	我在机械工程系学了4年，这为我的理论水平打下了坚实的基础。而且我在CBA公司工作了4年，获得了丰富的实际经验。
你读书期间有没有兼职工作的经验？	没有，我总是忙着学习，你呢？
说说你的情况吧。	我出生于北京，并在那里长大。我考入北京大学，获得了经济学学士学位。 我在中国太平洋保险股份有限公司做了两年的金融顾问。
上面说你毕业于北京师范大学英语语言文学专业。	对。你可能认为我的教育背景并不适合这份工作。
我们需要一位能使用、维修各种办公设备的人	类似的工作我干了六年。
你好,琼斯先生!请坐.谢谢你今天能来.你的简历我已看过.你在英国上的大学?	是的,上的剑桥大学.毕业后,我就干起了广告工作,后来转向了市场调查.
我把简历寄给人力资源部之前，你能帮忙校对一下吗？	当然可以,让我看看……个人信息、教育、经历、培训……我认为你应该把这一项再加上。你会讲三种语言，所以最好把这些写进简历。
你想做什么样的工作？	我喜欢静一点的工作,我曾经当过接线员.
你熟悉办公室的管理工作吗？	以前干过类似的工作。
你能告诉一些关于公司的情况吗？比如说，你们那儿有多少员工？	在香港我们大概有150名员工，北京总部有400名员工,香港新闻部大概有80名职员。
想到面试我心慌极了。	别担心.你已经做好了充分的准备。
现在，我敢保证有关那个职位你有很多问题要问。	是的。Miss Childs在电话中给我进行了概要的介绍，但是还有些细节我想搞清楚。
好的，Rebecca，你大学毕业后的第一份工作是……	我在纽约为一所叫做York Herald当地报纸工作，一开始我是实习生。我很喜欢在新闻行业学些经验，这看起来是很不错的选择。
现在我看这部分，得知你已经获得了英语文学艺术学士学位?	是的，在纽约上完高中后，我进纽约大学就读。我的专业是英语，我的辅修科目是商务学习，在2004年我得到了艺术文学学位。
现在我想了解更多你上份工作的信息。我看到简历上写你在《伦敦周报》呆了4年，对吧？	是的，说实话，第1年对我来说很困难。我第1年更像是实习生的待遇。我没有太多职责，我发现这很令人沮丧。
Rebecca现在你已经告诉我你的工作和教育背景，谈下你自己行吗？你能描述下你的主要优点吗？	好的，Parsons先生，就像先前我提到的，我是个需要新挑战的人。我工作专心而且特别努力。我想我的学习成绩已经证明了这一点。
好吧，Rebecca，我想对你的优点你已经给我留下清晰的印象。我们来谈下你的缺点吧。	好的，描述缺点总有点困难，不是吗？
Rebecca，你现在还想了解些其他的事吗？	Parsons先生，我想我没有问题了。你已经向我介绍了所有的要点。
请进。	Parsons先生吗?
所以，Vicky，你目前的工作做多久了？	我当秘书有两年了，在那之前我在念大学。
你为什么想成为一名空姐？	因为我一直喜欢飞行。而且我善于和人打交道。
我能帮你什么忙吗？	是的，我正在找英文办事打字员的工作。
珍妮特，你的工作找得怎么样？	我找到了一份很理想的工作。我在一家铅管公司工作。
蔡尔兹小姐请把你的简历递给我。我能有机会来仔细看看，我必须说我对你印象深刻。	非常感谢。我尽量让简历简单明了。如果有问题，请尽管问我。
早上好，我叫杰森史密斯。	噢，早上好，史密斯先生。很高兴见到你。我是人事部的皮特安德森。请坐。
我已读了你的简历，了解了很多关于你的情况。有一件事儿你没有涉及到，那就是你为什么辞去你最后的那份工作？我知道你工作的那家公司是一家挺好的公司。	是的。是一家不错的公司。但是，上个月，那家公司的管理层发生了变动。我和新的管理层不大合得来，所以我辞职了。
戴夫，我要跟你谈一件事。	吉娜，你干嘛那么小声？
最近很累，我一直都很努力，但是我觉得我不能胜任这个工作。	你需要休息一下，或许需要休假。
我真不知道该怎么办！我要是丢了工作，一定会入不敷出的。	别担心，我觉得你不会因为只犯一次错就丢掉工作的。
你今天过得怎么样?	你先说吧,你怎么样?
嗨,爱赛亚!你好吗?	挺好的,你呢?
你有时间吗?	当然,你想谈什么?
艾米利亚,你能腾出几分钟时间吗?	没问题,你需要什么?
欢迎加盟本公司。我们正在对新员工进行调查，看看你们为什么选择本公司。	很简单。你们办公场所的益生学设计吸引了我。
欢迎加盟本公司。我们正在对新员工进行调查，想知道你们为什么选择本公司。	老实说，弹性的工作时间安排是吸引我的关键因素。我个人的生活方式　不太适应传统的工作时间安排。我很高兴可以灵活高速自己的工作时间。
你参加夜校有一段日子了。你觉得对你有帮助吗？	有，进修已经在我工作上产生了积极的效果，增强了我的自信心。而且，学校的辅导体系所提供的课程与我的需要和目标相当吻合。
我不喜欢宣布坏消息，但又到每年这个时候了。你的业绩评估做完了吗？	噢，不！业绩评估！你肯定知道那不是我喜欢的工作；我还没开始呢。上交表格的截止日期是什么时候？
Smith女士,你能向我介绍一下今年你发起的培训计划的情况吗?	我们开办了电话中心服务培训和语言培训,以保证服务人员受到良好的培训.
你有机会看一下合约吗？	有。我很仔细地看过。
我们明年的培训项目策划已经接近尾声了.这是关于预期投入和预期投资回报的报告.	投资回报?这种投资怎么会有回报?你真的能算出培训项目的价值吗?
现在你要登机了。很抱歉，你在中国的时候我们对你的帮助很不够。	十分感谢你对我的关照。在中国见到的一切给我留下了深刻的印象。我真不知道怎样感谢你们。
早安，史密斯先生。	早安，杰米。现在几点了？
这是我们的样品室。	你们这里展出的食品样品种类很丰富。
早上好，我叫约翰·史密斯，我是进口部门的一名经理。	您好，史密斯先生！我叫周红。这是我的名片。
下午好！我是布朗先生，是澳大利亚悉尼大西洋工业有限公司进口部经理。这是我的名片。	布朗先生，下午好！我是安德森女士，销售部的经理。
我很高兴有这个机会参观你们公司。我希望能与您谈下大笔生意。	很高兴见到您，布朗先生。我想您已经看过我们展示厅里的产品了。 可否知道您具体对哪些商品感兴趣？
我陪你到各处看看，边走边讲解生产操作。	那太好了。
你能给我讲一下你们产品的详细情况吗?	没问题,我很荣幸.我先告诉你这样一个事实,由于我们产品采用了先进的技术,现在我们在竞争中遥遥领先.
伦敦先生，什么时候能给我你们公司确认的到岸价格，那就是最后的报价？	我们将在今晚制定出来，明天早上让你拿到。到时你有时间过来吗？
和你聊这三个小时还真……有意思啊。能否请教你，我们到此的目的到底是什么呢？	我想要一个新的品牌形象。来点有创意的、有力量的。不会让人搞混的，是……强而有力的！
要过多长时间我们订的货才能送到?	我看一下....你要从中国进口55个集装箱的纺织品.他们应该在下周末之前下订单.运到宁波港需要两天时间.货运在公海上还需要三周时间,到达洛杉矶的时间从今天算起大约在一个月以后.国内运输由你们自己负责,你们可以和洛杉矶码头达成协议.
有什么我能帮您的吗？	我在找一位在这儿工作的人，但是我弄丢他的名片了。他姓蒋或是简之类的。
爵克先生，非常荣幸能跟贵公司合作。	伟恩女士，我们也很高兴能为贵公司提供服务。
周先生，你们把报价做出来了吗？	做出来了。这是我们的到岸价报价表。请您仔细过目。
我了解我们需要七部空调机在两个楼面。你是这个意思，对吧？	是的。你可以装五到六部。但五到六部会不够，所以我建议七部。
我对你们所有的产品都感兴趣，但这次我想购买烟火和蚊香。请报CIF仰光到岸价。	请你说明需求数量，以便我们计算出保险费和运费。
希望我们能提供给您最有利的条款。	我相信您会发现我们的价格是最有竞争力的。这是我们的报价。所列的所有价格都已确认。如果您的订单量够大，我们会重新定价。
这是我们船上交货价的价目单。所报价格没有约束力。	很好。如果可以，我马上把价目单看一遍。
李先生，这是我方的最低价格，不能再让了。	如果是这样的话，那就没有什么必要再谈下去了，我们是不是干脆放弃这笔生意算了！
您要求的付款方式是什么?	三十天内付清货款.
我们有兴趣跟你们订大量的羊毛毯。	您的订量是多少呢？
布朗先生，我建议你把订单数量削减一半以摆脱你的困难。你可以以后再下追加订单。	喔，我考虑一下这种可能性。顺便问一下，如果我想要你们六月份交货的话，我需要在什么时候开立信用证呢？
你们产品的批发价是多少?	我们几个批发商的情况都不一样,所以本会计年度的费用支出不好确定.但差别很小,大约上下浮动0.2%.
我们给你发的邮件中有这个项目的所有详细说明,我们接受投标的时间是周二中午之前.如果你这段时间有什么问题的话,请告诉我...	事实上,我确实有个问题.我们想知道你们对这个项目的预算是多少.我们希望提供一个真正有竞争力的出价,但同时我们也想达到你们的目标价位.
这份订单还有没有办法在批发价上达成更好的协议?	我们已经尽力给你们一个较低的价格.你看到我们最近的估价了吗?
这种产品还有没有条件更优惠的保单?	有的,如果你们同意签一年的合同,我就给你们提供更优惠的保单.
我喜欢你们的小露露娃娃。一批6000个要多少钱？	一批6000个,我们算两美元一个.总共12000美元.
请问是A	是的,先生.您找谁?
我是来听取你们对猪鬃的报盘。	我们已为你准备好了报盘。让我找一找啊，在这里，100箱57毫米休斯敦猪鬃，每公斤成本加运费保险费到欧洲主要口岸价10英镑，2001年6月交货。报盘五天有效。
王小姐，你认为什么价格可行呢？	我讲过，你方价格太高使我们很难还价，希望你方能主动弥合差距。
我们从你们工厂订的货需要多少钱?	过几天我很乐意给你们一个估价单.
我非常希望今天能和你们达成协议,这对我们双方都合适而且有益.这些细节我都详细考虑过了,而且我希望我们今天下午能有机会讨论一下,解决这些分歧.	那我们就开始吧.你们有什么想法?如果你们从一开始就让我们知道你们的要求的话,我们可以一一解决并最终达成协议.
我们遇到个问题,好像展览棚还需要更多的聚光灯.那个客户认为光线太暗了,他们想要增加卤素灯.我们已经从你们那里拿了3套轨道灯,你看你们能不能帮帮忙,再额外送一些卤素灯?	哦...我看不行.你知道卤素灯比你们的轨道灯照明系统要贵的多.再加上我还要请人给你们安装.那可不是一点儿费用就能办到的.
我们同意给你们减价,总共是94折.好消息是,我和老板谈过,他确认如果你们承担船运费用的话,我们会额外赠送保险费.	太好了!我本来很想要你们提供比94折再高点儿的折扣,但是如果你们提供保险的话,那样也会给我们节约不少钱...
劳驾, 我能知道你们公司的名字吗?	中国纺织品进出口公司。
你认为我应该拒绝他的报价吗？	应该，正该这样。
想必你已知道，我想和你商谈你方闹钟的代理问题。	是的，博格森先生，你在信中有提到。说实话，你方的建议使我们有些意外。
请戴上安全帽。	我们还得穿上罩衣吗？
谢谢你们陪同我看了整个工厂。这次参观使我对你们的产品范围有了一个很好的了解。	带我们的客户来参观工厂是我们的荣幸。不知道你总体印象如何？
很高兴又见到你，金夫人。	我也很高兴见到你，布朗先生。
Star地板材料公司。您找谁？	我找采购部的人。
首先，我想感谢你盛情邀请我访问你们美丽的国家。我希望这次 访问将有助于促进我们之间的友好关系。	我们一直在盼着你的到来。有你来做客，真是我们的荣幸。面对 面的谈判总是比较方便。
好吧，既然价格、质量和数量问题都已谈妥，现在来谈谈付款方式怎么样？	我们只接受不可撤消的、凭装运单据付款的信用证。
顺便说一下，我们的价格是针对最小量为1000个车座而言的。	是的，我注意到了。你说本地装配能在多大程度上促进销售呢？
嗨，请进，我等你好久了。	谢谢，我没有迟到吧？
真扫兴！	怎么了，Jim?
这个工厂有多大？	面积有七万五千平方米。
我可以向你保证，如果你买了我们的产品，你会得到好品质。	我看过你们的单件，我很满意。你们的商品质量高过标准质量。
如果我们达成了交易,但交货的30~60天内,市面降价,导致你的价格不是最好的,该怎么办?我要如何处理?	嗯,这是难免的,你只要直接告知我就可以了.
我刚想起来了，还有一种可能性确保即期交货。	什么可能性？
我希望从一开始就想说明标签的事情完全是我们的问题。	我得说这个问题是我们从来没有遇到过的。
琼斯先生，我们来谈谈包装好吗？	好。你知道，我们对服装包装有特定的方式。至于女衫，一件装一个聚乙烯口袋，可直接放在橱窗里陈列。
怀特先生，欢迎来中国。	Chi女士，您好吗?
嗨，布朗先生，我们已参观了工厂，并对你们工厂的生产条件很满意。	是的，这些厂生产经验丰富，历史悠久，是我们工具出口的主要生产厂家。所有产品在国际市场上享有很高的声誉。
你们能否想些办法提前交货？	但我们的厂家眼前都很忙，要再提前恐怕很难。
Sandrawu Chunk 国际公司.	你好,吴小姐. 我是OTC有限公司的Alex Robson. 我要查最近我这次的订单,货是什么时候送出的?
很高兴，你能找到时间来见我，约翰先生，我想不出会面的更好环境了，这儿的环境很不错。	没问题，如果可能，我总是将买卖和乐趣融合起来。现在，我们来听听你们提供的巧克力。
你好，先生，您需要什么服务？	我想了解些申请贷款的信息。
早上好，有什么能帮忙的吗？	我想开个新账户。
Jimmy, 自己有钱的感觉怎么样？	太棒了，爸爸。送报纸倒没有什么，真正的快乐是收钱。
小姐，我可以为你服务吗？	是的，我想开个账户。
都市银行。先生，我可以帮你吗？	是的，我想销户。
我想在这儿开一个储蓄帐户。	好的，我们有很多种。
我想把人民币兑换成德国马克。	可以。您想换多少钱？
小姐，早上好。有什么我可以帮你的吗？	你可以告诉我我的账户还有多少余额吗？我的账号是…
我想把钱都取出来，然后消户。	我能看看您的存折吗？
早晨好，欢迎来到美国银行，我能为你做点什么？	你好，我需要将钱转到另一个账号，很紧急。
早上好，请问有什么可以帮您？	你好，我想给马诺丽亚公司汇一千元钱。
早上好，先生。我能帮您点什么吗？	是的，我想在银行账户中存1000元钱。
你好，我想开个帐户。	您想开什么样的帐户？
亲爱的，今天过得如何？	还行。我碰见比尔了，我们说了会儿话。他现在有些困难。
你好，约翰，很长时间没肯定你了。有什么新状况？你忙什么呢？	Pete!很高兴见到你。无非就是些寻常事，你知道的，妻子，孩子和工作。我已经开始真正做些交易了。
嘿，女儿，我来问你一点事情。	什么事，爸爸？
我刚买了份保险。你买保险了吗？	嗯，买了。我有人身保险，我家人还有家里的东西也都有保险。
那是个有意思的纪录片。	当然，我不明白影片中档他们谈到美国社会保险时提及的一些技术术语。
嘿，他们从我的薪水里扣了不少钱哦。	是呀，政府确实扣除不少。
你的销售条件是什么?	报价是到岸价.
吉姆，你股票怎么样了？	噢，还行。前两年我输了一大笔钱，但是今年一直都很好。
你好，我可以帮你吗？	是的，我需要一些现金，在中国旅行时可以使用。我可以在这里兑换旅游支票吗？
当谈到选择基金的时候，你总会听到“过去的成就并不代表它的将来”，你相信这句话吗？	或许它是正确的，因为一切皆有可能。你知道的，现在的市场变化快速。但是我仍然对那些股票行情不佳的基金没有信心。对我来说，股票记录是我决定买哪一个的重要依据。我真的很想把风险降到最低，把回报提到最高。
下午好，小姐，你有兴趣再买一些人寿保险吗？你知道的，你从来都不能买够的。	我想我老公有一些。
每个人都想减少经济损失。如果你想退休时很富有，你就必须拿你的积蓄去投资。我想到了买股票。如果我能很好地管理它，它可能是一种很好的投资方式。你怎样认为呢？	我部分同意你，买股票并不难，但是买股票一直赚钱就很难了。甚至是专业人士也觉得不容易，要如此小心。无论怎样，想我们这样的人需要投资方面的帮助。为什么不上网搜索呢？网上有数据，报告和论坛可以教人们如何投资。另外，你需要访问一个提供股票走势图的已建网站。
那是个有意思的纪录片。	当然，我不明白影片中档他们谈到美国社会保险时提及的一些技术术语。
早上好，先生。请问有什么可以帮助您？	是的，我想把澳元换成人民币。
请问有什么可以帮助您的？	是的，我能在这儿兑换我的旅行支票吗？
保持肃静！ 	我准备好为自己辩护了。 
肃静！ 	法官大人，我已经准备好为自己辩护了。 
你现在自由了，可以走了。 	我太激动了。 
你被传唤到这里的吗？	是的，法官先生。 
你看了今天的新闻了吗？ 	还没有，发生什么了？ 
法庭内请保持肃静。 	我要为自己辩护。 
你可以准备离开了。 	真不敢相信。 
你现在自由了。 	太棒了。 
你今天来这儿是为了你的罚单吗？ 	是的。 
你今天来是为了你的罚单吗？ 	是的，正是这个原因。 
今天你来这里做什么？ 	我被法院传票了，我来为自己辩护。 
你今天在这里做什么？ 	我要为自己辩护。 
你今天怎么来法庭了？ 	法院给我传票，我要为自己辩护。 
亲爱的，你怎么了？ 	有可怕的事情发生了。我们去了波多贝罗路，有人偷了我的手提包。 
您需要点儿什么？ 	是的，我们在找手表。给我戴的。 
这是怎么了？ 	你是问，发生什么事了？恩，警官，我正设法从窗户出去，弗雷德正在帮助我。 
你相信上帝吗？ 	不相信。我是一个无神论者。你呢？ 
他们不认为是你拿的，对吗？	不知道。我只知道，那天是我有生以来被问了最多问题的一天。 
晚上好，先生。我知道你这里被抢劫了。 	是的。 
你曾参加过什么政党吗？ 	没有，我没有过。但是我曾考虑过加入绿营。 
好吧，把她拖过来，帮我把她绑起来。 	不敢相信她竟然迷恋上了它！她比我想象中还容易上当受骗！ 
这里是第五行动新闻，记者莎拉·奥康奈尔报道，华盛顿特区爆发了一场抗议。数千名愤怒的公民抗议对汽车制造业的救助计划！先生，先生，我是来自第五行动新闻的莎拉·奥康奈尔，你能告诉我们发生了什么事吗? 	是，是的，我们在这里抗议，因为我们觉得这不公平！金融界不负责任的大企业已经倒闭！我们在那里是为了让政府知道，我们不赞成他们花费我们缴纳的税金的方式！ 
贵国的政治制度怎样实施呢？ 	我们有数百个选区，每个人都会投票选举议会的一员。大多数人称之为议员。 
您有什么事儿？ 	我的女儿，她失踪了。我不知道她去哪儿了。 
你好！你在看什么呢？	你好！我刚才学习太累了，所以想看看报纸，放松一下。不幸的是，报纸上的新闻令人很沮丧。市中心又出现了杀手。我很震惊的是，警察还没抓到凶手。 
 你必须跟大使馆说，他们会给你发个新的。	我最好明天走
请告诉我们大火发生的确切时间。	确切时间？让我想一想。你知道，火灾是晚上发生的。
你好，派出所吗？	是的，我能帮你什么忙吗？
这儿出什么事了？	今天早上有人闯进我家了。
对不起，我的袋子被偷了，你能帮忙吗？	在什么时候发生的？
不许动！警察！把你的手放在头上。	我犯了什么罪？
他们马上来了。	他们四分钟就到这里，相当快。
你在外面嗅到什么吗？	是的，我刚刚在厨房，我好像闻到烟味。
哦，警官，我丢了护照。	你记得是在哪里在什么时候最后看到它的吗？
这儿出了什么事？	我们的锁被砸了，亲爱的。有人闯进我们家了。
我不要上楼，我们应该报警。他可能还在屋子里，万一他有枪呢？	好吧，也许你是对的。但是你楼上有什么值钱的东西吗？
哈啰，请问一下.	请说，我能帮你吗?
嘿，你想要买大麻吗？	什么？
好的，Sally，这儿有个画家来帮我们。我们将要问你有关银行劫匪的问题,将会画出那个人的长相。你准备好了吗？	是的，他有着棕色的头发……长头发……他有些胡子……也是棕色的。
我想买双运动鞋,要阿迪达斯牌的.	您要多大？
你好，我正在为我的儿子找一双鞋。	当然。如果你正在找礼服鞋，我们这儿有一些男孩的Oxfords款式。我们还有运动鞋，登山鞋。
我想买这双鞋。	好的，让我看看。104美元99美分。
我能帮你什么忙？	我想看看运动鞋
先生，您买什么？	我想买一双劳克式旅游鞋.
亲爱的，你真喜欢这种草帽吗？	当然，我就买这种。
先生，打扰你，我想买双晚礼服鞋。我穿了很多年的那些鞋已经变形了。不能再支撑我了。	当然，你在找什么样的鞋？这里有用皮带装饰的凉鞋，高跟鞋，低鞋帮低跟鞋的鞋，或是如果你想买些实用的鞋在，这儿有Mary Janes巴黎舞女鞋.
嗨，乔，你在这家百货公司干什么？	嗨，瑞塔，我只是想买双鞋。我不会在这里呆很久。
丽莎，这个家有家规吗？	嗯，我不会称它们为规定，但是有些事是我希望我女儿做的。
玛丽，你怎么起得这么早？	我还有一点点时差没有调整过来。
新的一年即将到来。期末考试也临近了。	是的，妈妈。我们就要放寒假了。
什么？你的钻石戒指丢了？	是的，我哪儿都找不到它。
不要生他们的气了.毕竟他们还是孩子。	但是我仍然担心他们，我怕......
妈妈,我要去中国旅游,你觉得怎么样？	行，中国是个很不错的国家。
苏珊，我邀请你和弗兰克这个周末来参加我们家的乔迁之喜聚会。	乔迁之喜聚会？
今天是星期天。	是的，我知道。
你能帮我洗碗吗？	当然。我应该洗还是应该擦干？
《侠盗猎车手3》真赞！	真是比电视新闻还暴力啊！
我的衬衫需要熨一下。你能帮个忙吗，玛丽？	不行。你自己干吧。
你不应该把脏盘子堆积在哪里。	知道了，我必须马上去洗掉它们。
行了，亲爱的，该拿走圣诞树上的东西了。	必须拿下吗？
强尼，我不敢相信你会做这种事。	我知道，奶奶，我只是……
强尼，你的房间整理好没？	还没，妈。你干嘛这么狂扫地啊？
呃，浴室简直就是一猪圈啦！	海伦，为什么你一直在冲洗厕所，出什么事了吗？
我洗盘子都有一周多了。	哦，我觉得你洗盘子洗得很好，所以或许该多洗一周。
强尼，你又在那边摸鱼是不是啊？	我刚刚洗完窗户，等一下要洗马桶，我只是中间休息一下。
妈妈，这些旧东西都放到这盒子里吗？	有些东西已经没用了。你决定吧，如果觉得没多大用，就扔了吧。
爸爸，我们的洗衣机坏了，好多衣服要洗呢。怎么办呢？	恩，我在忙我的工作呢。一楼有一个投币洗衣机，我们去吧。
能为你做点什么？	我有一套西服、一件羊毛衫和一件白色衬衣要洗。
你好，我来取我的衣服，这是发票。	这些是您的。我们已经熨烫过了。请检查一下看是否有损坏。
你好，Mel。你今天有空打网球吗？	对不起，我去不了，我得去干活，去学校接Jake和Maddie。并给他们做午饭，然后带Jake去进行足球训练，送Maddie去舞蹈班。
你离开饭桌之前必须把饭吃完。	可是妈，我吃不下了，我饱了。
我可以跟我的朋友整晚在外吗？	不行。
你们国家的小孩一般都几岁上学?	在美国,小孩通常都是5岁上小学.
好了，同学们，现在我们都已经化妆了，来看看你们都选了什么职业。我看见有消防员，警察，医生和保镖。谁能告诉我这些职业有什么共性吗？	他们都将人们从困境中就出来？
我盼着这个周末儿子毕业呢。	我也是。不过他毕业后做什么呢？他需要上大学。
嘿，吉姆。起床啦！	我现在就要起床吗？
我不想让你担心，但是我们的儿子现在有些坏习惯了。他每天都说些伤人的话。	什么话？你能告诉我吗？
你知道现在是几点吗？	嗯，十点？
听着,凯伦，我需要你的帮忙。在这里我还不认识人。	我很乐意帮你，怎么了？
妈妈，我想搬出去住。	嘿，听起来到很不错，孩子，你找到了什么工作？
圣诞节准备得怎么样了？	要的礼物我都准备好了，而且我们全家正在一起准备食物。那很容易，但我还有一个难题要处理。
鲍尔，你以前也是孩子的父亲。那么，你能告诉我你的小孩捣乱时你是怎么做的吗？	我知道马克是你唯一的小孩。你可能和我当初做的不一样。当他们惹祸时，有时候我会轻拍他们的手。
我刚接到菲茨格尔德太太的电话。看看你的威利刚刚做了些什么。	我的威利？怎么又突然变成了我的威利？
妈妈，请再给我一点。	蒂娜，你该吃些更有营养的食物，别总吃这些炸土豆片了。
你整夜不回家，真是把我吓死了。	我和朋友们在一起了。
哎唷！水太烫了啦！	亲爱的，慢慢泡进去。你会习惯这个温度的。我去帮你煮些鸡汤。
我泡好了。可以看电视吗？	这里有一杯水。把这些综合维他命和退烧药吃下去。
说起这个让我想到，你该去把英文课本拿出来，把阅读作业看完。	但我根本没有阅读作业。
太好了。我最喜欢的就是——汤、汤、汤……	喔，还有你每小时的整点，都要准时再做一件事，亲爱的。
妈，我准备好去上学了。	让我摸摸你的额头。幸好这次不是链球菌感染。
强尼，你能帮我泡杯茶吗？	呃……何不换成来杯果汁呢？
所以等一下我们可以玩PS啰？	当然，如果你把房间整理好的话！
谢谢您晚上能来，韦伯太太。作为老师，很高兴您晚上能来参加家长会。	当然要来参加的！我非常想知道我的孩子最近怎么样，也想问问您如何帮助他提高学习成绩呢。
这里太冷了，我能将加热量调大些吗？	别碰那个恒温器。这儿的东西你从来没付过费。
妈妈，我像超人吗？我只需要个斗篷。	不，只是个超级男孩。
爸爸，妈妈，我们回来了。	亲爱的，你们放了几天假？
妈，早安.	我帮你跟医生挂号了.
妳看吧？没那么糟嘛。	你说得倒轻松。我的屁股还在痛.
强尼，我想谢谢你。	妈，你的意思是什么？谢我打破你最好的瓷器吗？
你也知道奶奶有多重视房屋清洁。	知道，她每次来这里我都要听一遍。
我认为当我们决定有孩子的时候应该在家教育他们。	什么？为什么？
看，吉米今天的成绩单。	让我看下。这是什么？所有的成绩在哪里？
丹尼尔，你完成作业了吗？	还没呢，爸爸。我正在看《奥特曼》。不，爸爸，求求您了。这个节目一个星期才放一次的。
太好了！我们早到了20分钟。	是啊，幸好我们搭了出租车。
Tom, Jenny是不是在哭？	你能把她弄走吗？
我不知道该让我的孩子学什么？	现在很多孩子在学绘画，舞蹈，游泳，唱歌等等。你可以照他们的例子做呀。
圣诞节准备得怎么样了？	要的礼物我都准备好了，而且我们全家正在一起准备食物。那很容易，但我还有一个难题要处理。
我刚接到菲茨格尔德太太的电话。看看你的威利刚刚做了些什么。	我的威利？怎么又突然变成了我的威利？
我不想让你担心，但是我们的儿子现在有些坏习惯了。他每天都说些伤人的话。	什么话？你能告诉我吗？
鲍尔，你以前也是孩子的父亲。那么，你能告诉我你的小孩捣乱时你是怎么做的吗？	我知道马克是你唯一的小孩。你可能和我当初做的不一样。当他们惹祸时，有时候我会轻拍他们的手。
你好。能让David接电话吗？	请稍等。（片刻后，接电话者返回并说）喂？
您好。这里是约翰配送。我能为您做什么？	我需要一些冰水。
您好。这里是哈密尔顿冷暖设备修理服务。我能帮您吗？	是的。我的冰箱工作不太正常。
您好。我能帮您什么？	是关于我的账单的问题。
您好，客户服务柜台。先生，我能为您做什么？	早上好，我在几个月前买了这个吸尘器，现在它坏了。我能退换或者修理吗？
你好。 	你好。能让Peter接电话吗？ 
我是Joseph。 	嘿，Joseph，你是怎么搞到我的号码的？ 
接线员，关于我刚刚接到的电话，能给我一些信息吗？	我不知道是谁打的电话，但是，它是从多伦多打过来的。
您好。这里是查号台。我能帮您吗？	能告诉我住在Locks大街的Jessica Hanson的号码吗？
您好，机场通勤预约服务。我能为您做什么？	你好。我想订一辆出租车，这个周六的早上。
您好。这里是客户服务。能为您做什么？	是这样的，我最近总是接到骚扰电话。我可以换个号码吗？
你好。	你好，David。你可真难找啊。我打了好几次了，但每次都是忙音。你的电话欠费了？
您好。拖车服务。您遇到什么问题了？	我需要一辆拖车。我的车坏了。
您好。感谢您致电Spend Mart。	请问是客户服务柜台吗？
